#,Station,Next Stop,Line,Color,WC,xCoordinate,yCoordinate,Interchange point,End of line?
1,Oberlaa,Neulaa,1,red,,832,956,,0
2,Neulaa,Alaudagasse,1,red,,810,934,,
3,Alaudagasse,Altes Landgut,1,red,,790,912,,
4,Altes Landgut,Troststrasse,1,red,1,768,891,,
5,Troststrasse,Reumannplatz,1,red,,745,868,,
6,Reumannplatz,Keplerplatz,1,red,,722,846,,
7,Keplerplatz,Suedtiroler Platz - Hauptbahnhof,1,red,,712,810,,
8,Suedtiroler Platz - Hauptbahnhof,Taubstummengasse,1,red,1,712,748,,
9,Taubstummengasse,Karlsplatz,1,red,,712,680,,
10,Karlsplatz,Stephansplatz,1,red,1,710,610,"1,2,4",
11,Stephansplatz,Schwedenplatz,1,red,1,712,498,"1,3",
12,Schwedenplatz,Nestroyplatz,1,red,1,789,405,,
13,Nestroyplatz,Praterstern,1,red,,820,374,,
14,Praterstern,Vorgartenstrasse,1,red,1,850,343,"1,2",
15,Vorgartenstrasse,Donauinsel,1,red,,883,311,,
16,Donauinsel,Kaisermuehlen/VIC,1,red,,920,273,,
17,Kaisermuehlen/VIC,Alte Donau,1,red,1,946,249,,
18,Alte Donau,Kagran,1,red,,966,288,,
19,Kagran,Kagraner Platz,1,red,,996,198,,
20,Kagraner Platz,Rennbahnweg,1,red,1,1019,176,,
21,Rennbahnweg,Aderklaaer strasse,1,red,,1040,155,,
22,Aderklaaer strasse,Grossfeldsiedlung,1,red,,1063,132,,
23,Grossfeldsiedlung,Leopoldau,1,red,,1086,107,,
24,Leopoldau,,1,red,1,1113,82,,0
25,Seestadt,Aspern Nord,2,purple,1,1378,395,,0
26,Aspern Nord,Hausfeldstrasse,2,purple,,1363,329,,
27,Hausfeldstrasse,Aspernstrasse,2,purple,,1319,329,,
28,Aspernstrasse,Donauspital,2,purple,,1288,358,,
29,Donauspital,Hardeggasse,2,purple,1,1250,395,,
30,Hardeggasse,Stadlau,2,purple,,1203,395,,
31,Stadlau,Donaustadtbruecke,2,purple,1,1166,419,,
32,Donaustadtbruecke,Donaumarina,2,purple,,1135,452,,
33,Donaumarina,Stadion,2,purple,,1056,500,,
34,Stadion,Krieau,2,purple,1,986,432,,
35,Krieau,Messe-Prater,2,purple,,947,395,,
36,Messe-Prater,Praterstern,2,purple,,916,365,,
37,Praterstern,Taborstrasse,2,purple,1,850,343,"1,2",
38,Taborstrasse,Schottenring,2,purple,,789,344,,
39,Schottenring,Schottentor,2,purple,1,724,344,"2,4",
40,Schottentor,Rathaus,2,purple,1,665,394,,
41,Rathaus,Volkstheater,2,purple,,625,432,,
42,Volkstheater,Museumsquartier,2,purple,1,600,500,"2,3",
43,Museumsquartier,Karlsplatz,2,purple,,627,568,,
44,Karlsplatz,,,,1,710,610,"1,2,4",0
45,Ottakring,Kendlerstrasse,3,orange,1,334,356,,0
46,Kendlerstrasse,Huetteldorfer strasse,3,orange,,362,385,,
47,Huetteldorfer strasse,Johnstrasse,3,orange,1,383,407,,
48,Johnstrasse,Schweglerstrasse,3,orange,,412,435,,
49,Schweglerstrasse,Westbahnhof,3,orange,,438,461,,
50,Westbahnhof,Zieglergasse,3,orange,1,479,499,"3,6",
51,Zieglergasse,Neubaugasse,3,orange,,522,500,,
52,Neubaugasse,Volkstheater,3,orange,1,558,500,,
53,Volkstheater,Herrengasse,3,orange,1,600,500,"2,3",
