Station,Next Stop,Line,Color,WC,xCoordinate,yCoordinate
Oberlaa,Neulaa,1,red,,832,956
Neulaa,Alaudagasse,1,red,,810,934
Alaudagasse,Altes Landgut,1,red,,790,912
Altes Landgut,Troststrasse,1,red,1,768,891
Troststrasse,Reumannplatz,1,red,,745,868
Reumannplatz,Keplerplatz,1,red,,722,846
Keplerplatz,Suedtiroler Platz - Hauptbahnhof,1,red,,712,810
Suedtiroler Platz - Hauptbahnhof,Taubstummengasse,1,red,1,712,748
Taubstummengasse,Karlsplatz,1,red,,712,680
Karlsplatz,Stephansplatz,1,red,1,710,610
Stephansplatz,Schwedenplatz,1,red,1,712,498
Schwedenplatz,Nestroyplatz,1,red,1,789,405
Nestroyplatz,Praterstern,1,red,,820,374
Praterstern,Vorgartenstrasse,1,red,1,850,343
Vorgartenstrasse,Donauinsel,1,red,,883,311
Donauinsel,Kaisermuehlen/VIC,1,red,,920,273
Kaisermuehlen/VIC,Alte Donau,1,red,1,946,249
Alte Donau,Kagran,1,red,,966,288
Kagran,Kagraner Platz,1,red,,996,198
Kagraner Platz,Rennbahnweg,1,red,1,1019,176
Rennbahnweg,Aderklaaer strasse,1,red,,1040,155
Aderklaaer strasse,Grossfeldsiedlung,1,red,,1063,132
Grossfeldsiedlung,Leopoldau,1,red,,1086,107
Seestadt,Aspern Nord,2,purple,1,1378,395
Aspern Nord,Hausfeldstrasse,2,purple,,1363,329
Hausfeldstrasse,Aspernstrasse,2,purple,,1319,329
Aspernstrasse,Donauspital,2,purple,,1288,358
Donauspital,Hardeggasse,2,purple,1,1250,395
Hardeggasse,Stadlau,2,purple,,1203,395
Stadlau,Donaustadtbruecke,2,purple,1,1166,419
Donaustadtbruecke,Donaumarina,2,purple,,1135,452
Donaumarina,Stadion,2,purple,,1056,500
Stadion,Krieau,2,purple,1,986,432
Krieau,Messe-Prater,2,purple,,947,395
Messe-Prater,Praterstern,2,purple,,916,365
Praterstern,Taborstrasse,2,purple,1,850,343
Taborstrasse,Schottenring,2,purple,,789,344
Schottenring,Schottentor,2,purple,1,724,344
Schottentor,Rathaus,2,purple,1,665,394
Rathaus,Volkstheater,2,purple,,625,432
Volkstheater,Museumsquartier,2,purple,1,600,500
Museumsquartier,Karlsplatz,2,purple,,627,568
Ottakring,Kendlerstrasse,3,orange,1,334,356
Kendlerstrasse,Huetteldorfer strasse,3,orange,,362,385
Huetteldorfer strasse,Johnstrasse,3,orange,1,383,407
Johnstrasse,Schweglerstrasse,3,orange,,412,435
Schweglerstrasse,Westbahnhof,3,orange,,438,461
Westbahnhof,Zieglergasse,3,orange,1,479,499
Zieglergasse,Neubaugasse,3,orange,,522,500
Neubaugasse,Volkstheater,3,orange,1,558,500
Volkstheater,Herrengasse,3,orange,1,600,500
Herrengasse,Stephansplatz,3,orange,1,667,500
Stephansplatz,Stubentor,3,orange,1,711,498
Stubentor,Landstrasse,3,orange,,770,500
