Station,Line,Color,xCoordinate,yCoordinate,WC_Present
Oberlaa,U1,red,832,956,
Neulaa,U1,red,810,934,
Alaudagasse,U1,red,790,912,
Altes Landgut,U1,red,768,891,1
Troststrasse,U1,red,745,868,
Reumannplatz,U1,red,722,846,
Keplerplatz,U1,red,712,810,
Suedtiroler Platz - Hauptbahnhof,U1,red,712,748,1
Taubstummengasse,U1,red,712,680,
Karlsplatz,U1,red,710,610,1
Stephansplatz,U1,red,712,498,1
Schwedenplatz,U1,red,789,405,1
Nestroyplatz,U1,red,820,374,
Praterstern,U1,red,850,343,1
Vorgartenstrasse,U1,red,883,311,
Donauinsel,U1,red,920,273,
Kaisermuehlen/VIC,U1,red,946,249,1
Alte Donau,U1,red,966,288,
Kagran,U1,red,996,198,
Kagraner Platz,U1,red,1019,176,1
Rennbahnweg,U1,red,1040,155,
Aderklaaer strasse,U1,red,1063,132,
Grossfeldsiedlung,U1,red,1086,107,
Leopoldau,U1,red,1113,82,
Seestadt,U2,purple,1378,395,1
Aspern Nord,U2,purple,1363,329,
Hausfeldstrasse,U2,purple,1319,329,
Aspernstrasse,U2,purple,1288,358,
Donauspital,U2,purple,1250,395,1
Hardeggasse,U2,purple,1203,395,
Stadlau,U2,purple,1166,419,1
Donaustadtbruecke,U2,purple,1135,452,
Donaumarina,U2,purple,1056,500,
Stadion,U2,purple,986,432,1
Krieau,U2,purple,947,395,
Messe-Prater,U2,purple,916,365,
Praterstern,U2,purple,850,343,1
Taborstrasse,U2,purple,789,344,
Schottenring,U2,purple,724,344,1
Schottentor,U2,purple,665,394,1
Rathaus,U2,purple,625,432,
Volkstheater,U2,purple,600,500,1
Museumsquartier,U2,purple,627,568,
Karlsplatz,U2,purple,710,610,
Ottakring,U3,orange,334,356,1
Kendlerstrasse,U3,orange,362,385,
Huetteldorfer strasse,U3,orange,383,407,1
Johnstrasse,U3,orange,412,435,
Schweglerstrasse,U3,orange,438,461,
Westbahnhof,U3,orange,479,499,1
Zieglergasse,U3,orange,522,500,
Neubaugasse,U3,orange,558,500,1
Volkstheater,U3,orange,600,500,1
Herrengasse,U3,orange,667,500,1
Stephansplatz,U3,orange,711,498,1
Stubentor,U3,orange,770,500,
Landstrasse,U3,orange,815,500,
Rochusgasse,U3,orange,893,531,
Kardinal-Nagl-Platz,U3,orange,911,522,
Schlachthausgasse,U3,orange,932,570,
Erdberg,U3,orange,955,592,1
Gasometer,U3,orange,976,613,
Zippererstrasse,U3,orange,995,636,
Enkplatz,U3,orange,995,680,
Simmering,U3,orange,995,753,
Huetteldorf,U4,green,220,616,1
Ober St. Veit,U4,green,248,616,
Unter St. Veit,U4,green,288,616,
Braunschweiggasse,U4,green,327,616,
Hietzing,U4,green,363,616,1
Schoenbrunn,U4,green,398,616,
Meidling Haupstrasse,U4,green,435,616,1
Laengenfeldgasse,U4,green,479,616,
Margaretenguertel,U4,green,529,616,
Pilgramgasse,U4,green,584,616,
Kettenbrueckengasse,U4,green,642,616,
Karlsplatz,U4,green,710,610,1
Stadtpark,U4,green,794,587,
Landstrasse,U4,green,815,500,
Schwedenplatz,U4,green,789,405,1
Schottenring,U4,green,724,344,1
Rossauer Laende,U4,green,681,298,
Friedensbruecke,U4,green,642,260,
Spittelau,U4,green,614,207,1
Heiligenstradt,U4,green,614,141,
Siebenhirten,U6,brown,296,926,1
Perfektastrasse,U6,brown,327,895,
Erlaaer strasse,U6,brown,359,862,
Alterlaa,U6,brown,389,833,1
Am Schoepfwerk,U6,brown,415,806,
Tschwerttegasse,U6,brown,440,781,
Bahnhof Meidling,U6,brown,479,741,1
Niederhofstrasse,U6,brown,479,696,
Laengenfeldgasse,U6,brown,479,616,
Gumpendorfer strasse,U6,brown,479,559,
Westbahnhof,U6,brown,479,499,1
Burggasse-Stadthalle,U6,brown,479,436,
Thaliastrasse,U6,brown,479,397,
Josefstaedter strasse,U6,brown,479,358,
Alser strasse,U6,brown,493,317,1
Michelbeuern - AKH,U6,brown,519,290,
Waehringer strasse - Volksoper,U6,brown,548,262,
Nussdorfer strasse,U6,brown,578,231,
Spittelau,U6,brown,614,207,1
Jaegerstrasse,U6,brown,661,207,
Dresdner strasse,U6,brown,683,207,
Handelskai,U6,brown,720,173,1
Neue Donau,U6,brown,789,104,
Floridsdorf,U6,brown,810,83,
